"","Customer_ID","Recency","Frequency","Avg_Amount","Total_Amount","DPR","Age","CSI","CLV"
"1","12346",529,7,11.2987878787879,372.86,26,725,"1",23.7961490506009
"2","12347",2,8,22.169054054054,4921.53,126,404,"5",69.1111403383212
"3","12348",75,5,36.0521739130435,1658.4,24,438,"3",19.2684092949142
"4","12349",18,3,21.3877325581396,3678.69,137,589,"5",222.219327236062
"5","12350",310,1,18.4,294.4,16,310,"3",21.5508893657962
"6","12351",375,1,14.33,300.93,21,375,"2",6.06558666088735
"7","12352",36,9,26.2228571428572,2569.84,69,392,"3",114.608077510377
"8","12353",204,2,16.9483333333333,406.76,23,408,"3",39.2186165526756
"9","12354",232,1,18.6103448275862,1079.4,58,232,"2",65.8772222703419
"10","12355",214,2,27.0745714285714,947.61,35,567,"3",53.6227800008658
"11","12356",22,6,40.3721582733813,5611.73,103,424,"5",267.34754909691
"12","12357",33,2,59.1107118644068,17437.66,260,388,"4",805.406326979631
"13","12358",1,5,46.5820270270271,3447.07,55,731,"5",251.384985787316
"14","12359",57,10,24.5121270718232,8873.38999999999,305,734,"5",413.535394004532
"15","12360",52,6,17.122701421801,3612.89,159,655,"4",374.624480189368
"16","12361",287,4,18.05,451.25,17,682,"3",26.6426327428393
"17","12362",3,10,18.5048046875,4737.23,200,295,"6",171.145850864018
"18","12363",109,2,24,552,23,242,"3",35.0885544153384
"19","12364",7,4,14.9148148148148,1208.1,69,112,"5",98.132694143734
"20","12365",291,1,29.1536363636364,641.38,22,291,"3",32.4914479618513
"21","12366",633,1,166.746666666667,500.24,3,633,"2",23.0551472648126
"22","12367",4,1,15.09,150.9,10,4,"6",9.96169127491205
"23","12368",628,1,50.9833333333333,917.7,18,628,"2",64.864444224418
"24","12369",413,3,16.7905555555556,1511.15,89,641,"3",56.0456149849789
"25","12370",51,6,20.0840609137056,3956.56,167,668,"4",221.382079904938
"26","12371",59,3,20.5360736196319,3347.38,133,645,"5",144.677315798874
"27","12372",71,3,24.4089795918367,1196.04,33,296,"4",57.7472327450489
"28","12373",311,3,19.3260416666667,927.65,35,673,"3",32.9624590838634
"29","12374",25,3,32.9533333333333,2669.22,78,588,"6",117.325844879805
"30","12375",10,2,25.1666666666667,377.5,13,98,"4",29.1044138041952
"31","12376",389,2,34.8318181818182,383.15,10,417,"2",23.0867417498518
"32","12377",315,4,21.7754666666667,3266.32,128,589,"3",214.170331086263
"33","12378",129,2,17.9944186046512,5416.32,281,562,"3",160.823784987054
"34","12379",81,4,19.0937662337662,1470.22,57,534,"5",91.0683918101751
"35","12380",21,7,27.0061797752809,7210.65000000001,154,662,"5",357.745442390598
"36","12381",4,3,17.9854878048781,1474.81,69,119,"6",51.7144333638863
"37","12383",184,5,17.3251063829787,1628.56,83,352,"3",48.8140254291759
"38","12384",28,2,17.0108,425.27,25,121,"4",16.1988695158675
"39","12385",379,1,26.06875,1668.4,64,379,"3",41.3441215987409
"40","12386",337,2,40.19,401.9,10,366,"3",20.7058692325898
"41","12387",415,1,15.9933333333333,143.94,9,415,"2",12.7921476084801
"42","12388",15,8,26.7199315068493,3901.11,83,582,"5",168.651137310305
"43","12389",402,3,29.2516326530612,1433.33,41,655,"2",80.2026491379906
"44","12390",79,1,16.2851612903226,504.84,31,79,"5",32.6314943562839
"45","12391",21,5,10.2053932584269,2724.83999999999,241,662,"4",234.908416727797
"46","12392",591,1,33.5357142857143,234.75,7,591,"2",11.5346492613216
"47","12393",72,6,22.4247663551402,2399.45,63,428,"5",56.1877608226102
"48","12394",63,2,43.2192,1080.48,25,217,"4",75.7283484568905
"49","12395",19,14,18.6835682819383,4241.17,144,602,"5",62.2829300327515
